City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C),Max Temp (F)
560,novyy buh,47.6931,32.5216,283.81,76,100,7.35,UA,1707726005,10.660000000000025,51.188000000000045
561,ambatondrazaka,-17.8333,48.4167,299.08,71,97,2.9,MG,1707726006,25.930000000000007,78.674
562,lewistown,40.5992,-77.5714,275.27,93,0,0.0,US,1707726006,2.1200000000000045,35.81600000000001
563,castelo do piaui,-5.3222,-41.5525,296.47,78,86,2.06,BR,1707726007,23.32000000000005,73.97600000000008
564,filadelfia,39.9523,-75.1638,279.5,75,75,3.09,US,1707725796,6.350000000000023,43.43000000000004
565,manokwari,-0.8667,134.0833,301.1,76,62,3.21,ID,1707725954,27.950000000000045,82.31000000000009
566,huazhou,21.6333,110.5833,296.13,51,2,6.94,CN,1707726010,22.980000000000018,73.36400000000003
567,ternate,0.8,127.4,300.83,83,100,9.75,ID,1707725760,27.680000000000007,81.82400000000001
568,kedrovyy,56.1667,91.8167,261.5,90,100,5.31,RU,1707726011,-11.649999999999977,11.03000000000004
569,arish,31.1316,33.7984,290.85,49,100,2.91,EG,1707726013,17.700000000000045,63.860000000000085
570,minot,48.2325,-101.2963,270.27,74,0,9.26,US,1707725643,-2.8799999999999955,26.81600000000001
571,linxia chengguanzhen,35.6003,103.2064,283.37,17,0,2.12,CN,1707726014,10.220000000000027,50.39600000000005
572,malinyi,-8.9333,36.1333,297.49,92,100,0.55,TZ,1707726014,24.340000000000032,75.81200000000005
573,north bend,43.4065,-124.2243,281.62,100,100,2.57,US,1707726015,8.470000000000027,47.24600000000005
574,bandar seri begawan,4.9403,114.9481,303.14,79,75,6.26,BN,1707726016,29.99000000000001,85.98200000000001
575,beroroha,-21.6667,45.1667,305.03,52,100,3.19,MG,1707726017,31.879999999999995,89.38399999999999
576,thai binh,20.45,106.3333,295.83,56,49,4.68,VN,1707726017,22.680000000000007,72.82400000000001
577,reggane,26.7158,0.1714,293.6,30,0,4.72,DZ,1707726018,20.450000000000045,68.81000000000009
578,dadukou,26.5479,101.7054,297.79,21,27,2.93,CN,1707726019,24.640000000000043,76.35200000000007
579,ariquemes,-9.9133,-63.0408,296.3,99,97,1.0,BR,1707726020,23.150000000000034,73.67000000000006
580,umluj,25.0213,37.2685,298.22,23,0,2.21,SA,1707726021,25.07000000000005,77.12600000000009
581,kachug,53.9606,105.8817,264.85,77,100,4.47,RU,1707726022,-8.299999999999955,17.06000000000008
582,malango,-2.9627,119.9001,296.07,92,100,0.56,ID,1707726023,22.920000000000016,73.25600000000003
583,bahar,34.9072,48.4414,283.24,34,0,1.03,IR,1707726024,10.090000000000032,50.162000000000056
584,general conesa,-40.1,-64.4333,290.26,54,100,10.45,AR,1707726026,17.110000000000014,62.79800000000002
585,oneonta,42.4529,-75.0638,272.94,81,7,0.43,US,1707725806,-0.20999999999997954,31.622000000000035
586,kavaratti,10.5669,72.642,301.28,70,5,4.49,IN,1707726027,28.129999999999995,82.63399999999999
